"NOTE: Coding book to accompany, Nagle, C. L. (in press). Assessing the state of the art in longitudinal L2 pronunciation research: Trends and future directions. Journal of Second Language Pronunciation.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Study,Authors,First Author,Year (20XX),Venue,Reason for Multiple,Total Length,Length Months,Length Bin,Data Points,Data Spacing,Unequal Specification,N Speakers,Participant Age,Participant Age Bin,Context,Immersion or SA?,Expanded Context,L1,L2,SP Construct,SP Task,SP Coding,Actual Tasks,Actual Outcome Measures,Statistical Tests,N Raters/Coders,Rater Profile
1.1,Akiyama Saito,Akiyama,16,MLJ,SP Coding,1 semester,4,0–4,2,Equal,,30,20.5,Adult,Foreign,,FL,English,Japanese,Production - Specific,Production - Spontaneous,Production - Coded,Visual-Based Conversation,"Lemma Errors, Lemma Inappropriateness, Lexical Variation And Sophistication, Moras Per Minute, Morphological Errors",MANOVA,,
1.2,Akiyama Saito,Akiyama,16,MLJ,SP Coding,1 semester,4,0–4,2,Equal,,30,20.5,Adult,Foreign,,FL,English,Japanese,Production - Global,Production - Spontaneous,Production - Rated,Visual-Based Conversation,"Comprehensibility, Lexical Features, Speech Rate, Morphological Accuracy on 1,000 Point Scale",MANOVA,4,Expert/Trained
2,Casillas,Casillas,20,LL,,8 weeks,2,0–4,8,Equal,,10,23.7,Adult,Second,Yes,SL SA,English,Spanish,Production - Specific,Production - Controlled,Production - Coded,"Delayed Repetition, Text Reading",VOT in word-initial Spanish stops,Mixed models,,
3,Derwing Munro,Derwing,13,LL,,7 years,84,24+,3,Unequal,,22,43.9,Adult,Second,,SL,Various,English,Production - Global,Production - Spontaneous,Production - Rated,Suitcase Narrative,"Comprehensibility, Fluency, Accentedness",ANOVA,44,Novice/Untrained
4.1,Derwing Munro Thomson Rossiter,Derwing,9,SSLA,"Groups (L1s), SP Construct",2 years,24,12–24,3,Unequal,"0, 2 months, 10 months, 1 year",32,34.33,Adult,Second,,SL,Mandarin,English,Production - Global,Production - Spontaneous,Production - Rated,Picture Narration,Fluency 9-Point Likert Scale,ANOVA,24,Expert/Trained
4.2,Derwing Munro Thomson Rossiter,Derwing,9,SSLA,"Groups (L1s), SP Construct",2 years,24,12–24,3,Unequal,"0, 2 months, 10 months, 1 year",32,34.33,Adult,Second,,SL,Mandarin,English,Production - Specific,Production - Spontaneous,Production - Coded,Picture Narration,"Temporal Measures (Hesitations, Corrections, Repitions, False Starts, Etc.)",ANOVA,,
4.3,Derwing Munro Thomson Rossiter,Derwing,9,SSLA,"Groups (L1s), SP Construct",2 years,24,12–24,3,Unequal,"0, 2 months, 10 months, 1 year",32,38.5,Adult,Second,,SL,Slavic,English,Production - Global,Production - Spontaneous,Production - Rated,Picture Narration,Fluency 9-Point Likert Scale,ANOVA,24,Expert/Trained
4.4,Derwing Munro Thomson Rossiter,Derwing,9,SSLA,"Groups (L1s), SP Construct",2 years,24,12–24,3,Unequal,"0, 2 months, 10 months, 1 year",32,38.5,Adult,Second,,SL,Slavic,English,Production - Specific,Production - Spontaneous,Production - Coded,Picture Narration,"Temporal Measures (Hesitations, Corrections, Repitions, False Starts, Etc.)",ANOVA,,
5.1,Derwing Thomson Foote Munro,Derwing,12,CMLR,Groups (L1s),10 months,10,8–12,5,Equal,,40,33.6,Adult,Second,,SL,Mandarin,English,Perception,Perception,Perception,Various Perception Tasks,Perceptual Performance (Percent Correct),ANOVA,,
5.2,Derwing Thomson Foote Munro,Derwing,12,CMLR,Groups (L1s),10 months,10,8–12,5,Equal,,40,39.5,Adult,Second,,SL,Slavic,English,Perception,Perception,Perception,Various Perception Tasks,Perceptual Performance (Percent Correct),ANOVA,,
6,Du,Du,13,MLJ,,4 months,4,0–4,4,Equal,,29,20.5,Adult,Second,Yes,SL SA,English,Mandarin,Production - Specific,Production - Spontaneous,Production - Coded,Interview/Friendly Conversation,"Fluency (Speech Rate, Total Words Spoken & Longest Turn)",MANOVA,,
7,Gulinello,Gulinello,9,PSLLT,,1 year,12,8–12,3,,,5,,Adult,Second,,SL,Spanish,English,Production - Specific,Production - Controlled,Production - Coded,Sentence Reading,"F1, F2, And Duration Of Vowels",Discriminant,,
8,Holliday,Holliday,15,JPhon,,1 year,12,8–12,3,Equal,,6,21.5,Adult,Second,,SL,Mandarin,Korean,Production - Specific,Production - Controlled,Production - Coded,Word List Reading,VOT & F0,ANOVA,,
9,Kennedy Foote Buss,Kennedy,15,TESOL,,2.3 years,28,24+,2,Equal,"year 0, year 2.3 (averaged)",7,22,Adult,Second,,SL,Various,English,Production - Global,Production - Spontaneous,Production - Rated,Mock Job Interview,Comprehensibility (9-Point Likert Scale),t-test,19,Novice/Untrained
10.1,Kim Clayards Goad,Kim,18,JPhon,Groups (Age),1 year,12,8–12,4,Equal,,27,39.6,Adult,Second,,SL,Korean,English,Perception,Perception,Perception,Word Recognition,Perception Of English Vowel Contrasts,Mixed models,,
10.2,Kim Clayards Goad,Kim,18,JPhon,Groups (Age),1 year,12,8–12,4,Equal,,27,8.9,Child,Second,,SL,Korean,English,Perception,Perception,Perception,Word Recognition,Perception Of English Vowel Contrasts,Mixed models,,
11.1,Munro Derwing,Munro,8,LL,"Groups (L1s), SP Coding",1 year,12,8–12,6,Equal,,44,33.2,Adult,Second,,SL,Mandarin,English,Production - Specific,Production - Controlled,Production - Coded,Word Repetition,English Vowel Intelligibility,ANOVA,4,Expert/Trained
11.2,Munro Derwing,Munro,8,LL,"Groups (L1s), SP Coding",1 year,12,8–12,6,Equal,,44,33.2,Adult,Second,,SL,Mandarin,English,Production - Specific,Production - Controlled,Production - Rated,Word Repetition,English Vowel Intelligibility (5-Point Scale),ANOVA,13,Novice/Untrained
11.3,Munro Derwing,Munro,8,LL,"Groups (L1s), SP Coding",1 year,12,8–12,6,Equal,,44,38.6,Adult,Second,,SL,Slavic,English,Production - Specific,Production - Controlled,Production - Coded,Word Repetition,English Vowel Intelligibility,ANOVA,4,Expert/Trained
11.4,Munro Derwing,Munro,8,LL,"Groups (L1s), SP Coding",1 year,12,8–12,6,Equal,,44,38.6,Adult,Second,,SL,Slavic,English,Production - Specific,Production - Controlled,Production - Rated,Word Repetition,English Vowel Intelligibility (5-Point Scale),ANOVA,13,Novice/Untrained
12.1,Munro Derwing Saito,Munro,13,PSLLT,"Groups (L1s), Outcomes",7 years,84,24+,2,Unequal,"year 1, year 7",31,,Adult,Second,,SL,Mandarin,English,Production - Specific,Production - Controlled,Production - Coded,Word Repetition,Intelligibility (Percent Correct),ANOVA,3,Expert/Trained
12.2,Munro Derwing Saito,Munro,13,PSLLT,"Groups (L1s), Outcomes",7 years,84,24+,2,Unequal,"year 1, year 8",31,,Adult,Second,,SL,Mandarin,English,Production - Specific,Production - Controlled,Production - Coded,Word Repetition,Acoustic Properties,Descriptive,,
12.3,Munro Derwing Saito,Munro,13,PSLLT,"Groups (L1s), Outcomes",7 years,84,24+,2,Unequal,"year 1, year 9",31,,Adult,Second,,SL,Slavic,English,Production - Specific,Production - Controlled,Production - Coded,Word Repetition,Intelligibility (Percent Correct),ANOVA,3,Expert/Trained
12.4,Munro Derwing Saito,Munro,13,PSLLT,"Groups (L1s), Outcomes",7 years,84,24+,2,Unequal,"year 1, year 10",31,,Adult,Second,,SL,Slavic,English,Production - Specific,Production - Controlled,Production - Coded,Word Repetition,Acoustic Properties,Descriptive,,
13.1,Munro Derwing Thomson,Munro,15,IRAL,Groups (L1s),2 years,24,12–24,4,Unequal,"2 months, 4 months, 10 months, 2 years",40,34,Adult,Second,,SL,Mandarin,English,Production - Specific,Production - Controlled,Production - Rated,Word Repetition,Inteligibility (Consonant And Consonant Clusters At Onset And Coda Position),ANOVA,2,Expert/Trained
13.2,Munro Derwing Thomson,Munro,15,IRAL,Groups (L1s),2 years,24,12–24,4,Unequal,"2 months, 4 months, 10 months, 2 years",40,38.5,Adult,Second,,SL,Slavic,English,Production - Specific,Production - Controlled,Production - Rated,Word Repetition,Inteligibility (Consonant And Consonant Clusters At Onset And Coda Position),ANOVA,2,Expert/Trained
