Study,Authors,First Author,Year,Venue,Reason for Multiple,Exclude All Multiple Entries,Exclude Save Age,Exclude Save Context,Exclude Save Age Context,Exclude Save SP,Total Length,Length Months,Length Bin,Data Points,Data Spacing,Unequal Specification,N Speakers,Participant Age,Participant Age Bin,Context,Immersion or SA?,Expanded Context,L1,L2,SP Construct,SP Task,SP Coding,Skill,Actual Task(s),Actual Outcome Measure(s),Statistical Test(s),N Raters,Rater Profile
1.1,Akiyama Saito,Akiyama,16,MLJ,SP Coding,No,No,No,No,No,1 semester,4,0–4,2,Equal,,30,20.5,Adult,Foreign,,FL,English,Japanese,Production - Specific,Production - Spontaneous,Production - Coded,Production,visual-based conversation,"Lemma errors, lemma inappropriateness, lexical variation and sophistication, moras per minute, morphological errors",MANOVA,,
1.2,Akiyama Saito,Akiyama,16,MLJ,SP Coding,Yes,Yes,Yes,Yes,No,1 semester,4,0–4,2,Equal,,30,20.5,Adult,Foreign,,FL,English,Japanese,Production - Global,Production - Spontaneous,Production - Rated,Production,visual-based conversation,"Comprehensibility, lexical features, speech rate, morphological accuracy on 1,000 point scale",MANOVA,4,Expert/Trained
2,Casillas,Casillas,20,LL,,No,No,No,No,No,8 weeks,2,0–4,8,Equal,,10,23.7,Adult,Second,Yes,SL SA,English,Spanish,Production - Specific,Production - Controlled,Production - Coded,Production,"Delayed repetition, text reading",Acoustic analysis (VOT word-initial Spanish stops),Mixed models,,
3,Derwing Munro,Derwing,13,LL,,No,No,No,No,No,7 years,84,24+,3,Unequal,,22,43.9,Adult,Second,,SL,Various,English,Production - Global,Production - Spontaneous,Production - Rated,Production,suitcase narrative,"comprehensibility, fluency, accentedness",ANOVA,44,Novice/Untrained
4.1,Derwing Munro Thomson Rossiter,Derwing,9,SSLA,"Groups (L1s), SP Construct",No,No,No,No,No,2 years,24,12–24,3,Unequal,"0, 2 months, 10 months, 1 year",32,34.33,Adult,Second,,SL,Mandarin,English,Production - Global,Production - Spontaneous,Production - Rated,Production,picture narration,Fluency 9-point likert scale,ANOVA,24,Expert/Trained
4.2,Derwing Munro Thomson Rossiter,Derwing,9,SSLA,"Groups (L1s), SP Construct",Yes,Yes,Yes,Yes,No,2 years,24,12–24,3,Unequal,"0, 2 months, 10 months, 1 year",32,34.33,Adult,Second,,SL,Mandarin,English,Production - Specific,Production - Spontaneous,Production - Coded,Production,picture narration,"Temporal measures (hesitations, corrections, repitions, false starts, etc.)",ANOVA,,
4.3,Derwing Munro Thomson Rossiter,Derwing,9,SSLA,"Groups (L1s), SP Construct",Yes,Yes,Yes,Yes,Yes,2 years,24,12–24,3,Unequal,"0, 2 months, 10 months, 1 year",32,38.5,Adult,Second,,SL,Slavic,English,Production - Global,Production - Spontaneous,Production - Rated,Production,picture narration,Fluency 9-point likert scale,ANOVA,24,Expert/Trained
4.4,Derwing Munro Thomson Rossiter,Derwing,9,SSLA,"Groups (L1s), SP Construct",Yes,Yes,Yes,Yes,Yes,2 years,24,12–24,3,Unequal,"0, 2 months, 10 months, 1 year",32,38.5,Adult,Second,,SL,Slavic,English,Production - Specific,Production - Spontaneous,Production - Coded,Production,picture narration,"Temporal measures (hesitations, corrections, repitions, false starts, etc.)",ANOVA,,
5.1,Derwing Thomson Foote Munro,Derwing,12,CMLR,Groups (L1s),No,No,No,No,No,10 months,10,8–12,5,Equal,,40,33.6,Adult,Second,,SL,Mandarin,English,Perception,Perception,Perception,Perception,various perception tasks,perceptual performance (percent correct),ANOVA,,
5.2,Derwing Thomson Foote Munro,Derwing,12,CMLR,Groups (L1s),Yes,Yes,Yes,Yes,Yes,10 months,10,8–12,5,Equal,,40,39.5,Adult,Second,,SL,Slavic,English,Perception,Perception,Perception,Perception,various perception tasks,perceptual performance (percent correct),ANOVA,,
6,Du,Du,13,MLJ,,No,No,No,No,No,4 months,4,0–4,4,Equal,,29,20.5,Adult,Second,Yes,SL SA,English,Mandarin,Production - Specific,Production - Spontaneous,Production - Coded,Production,interview/'friendly conversation',"Fluency (Speech rate, total words spoken & longest turn)",MANOVA,,
7,Gulinello,Gulinello,9,PSLLT,,No,No,No,No,No,1 year,12,8–12,3,,,5,,Adult,Second,,SL,Spanish,English,Production - Specific,Production - Controlled,Production - Coded,Production,sentence reading,"F1, F2, and duration of vowels",Discriminant,,
8,Holliday,Holliday,15,JPhon,,No,No,No,No,No,1 year,12,8–12,3,Equal,,6,21.5,Adult,Second,,SL,Mandarin,Korean,Production - Specific,Production - Controlled,Production - Coded,Production,word list reading,VOT & f0,ANOVA,,
9,Kennedy Foote Buss,Kennedy,15,TESOL,,No,No,No,No,No,2.3 years,28,24+,2,Equal,"year 0, year 2.3 (averaged)",7,22,Adult,Second,,SL,Various,English,Production - Global,Production - Spontaneous,Production - Rated,Production,mock job interview,comprehensibility (9-point likert scale),t-test,19,Novice/Untrained
10.1,Kim Clayards Goad,Kim,18,JPhon,Groups (Age),No,No,No,No,No,1 year,12,8–12,4,Equal,,27,39.6,Adult,Second,,SL,Korean,English,Perception,Perception,Perception,Perception,word recognition,perception of English vowel contrast (/i/-/?/ and /e/-/æ/),Mixed models,,
10.2,Kim Clayards Goad,Kim,18,JPhon,Groups (Age),Yes,No,Yes,No,Yes,1 year,12,8–12,4,Equal,,27,8.9,Child,Second,,SL,Korean,English,Perception,Perception,Perception,Perception,word recognition,perception of English vowel contrast (/i/-/?/ and /e/-/æ/),Mixed models,,
11,Merino Lasagabaster,Merino,17,IJAL,,No,No,No,No,No,1 year,12,8–12,2,Equal,,393,11.5,Adolescent,Foreign,,FL,Spanish,English,Production - Global,Production - Spontaneous,Production - Rated,Production,picture description task,"overall linguistic proficiency (100pt scale, 5 sub groups)",ANOVA,2,Expert/Trained
