Study Title,Study Authors,Study First Author,Study Year,Study Venue,Nagle 2021,Multiple Entry,Experimental,Length Total,Length Months,Length Bin,Data Points Number,Data Points Spacing,"If unequal, exact spacing",Participant N,Participant Age,Participant Age Bin,Context FL,Context SA,Context SL,L1,L2,Perception,Production Specific,Production Global,Task Controlled,Task Spontaneous,Coding Linguistic or Acoustic Properties,Coding Expert Rating,Coding Human Intuition,Rater N,Notes
Development of comprehensibility and its linguistic correlates: A longitudinal study of video-mediated telecollaboration,Akiyama Saito,Akiyama,2016,Modern Language Journal,Yes,No,No,1 semester,4,0 to 4,2,na,,30,20.5,Adult,Yes,No,No,English,Japanese,No,Yes,Yes,No,Yes,No,Yes,Yes,4,
The longitudinal development of fine‐phonetic detail: Stop production in a domestic immersion program,Casillas,Casillas,2020,Language Learning,Yes,No,No,8 weeks,2,0 to 4,8,Equal,,10,23.7,Adult,No,Yes,No,English,Spanish,No,Yes,No,Yes,No,Yes,No,No,,
The development of L2 oral language skills in two L1 groups: A 7-year study,Derwing Munro,Derwing,2013,Language Learning,Yes,No,No,7 years,84,24+,3,Unequal,"2 months, 2 years, 7 years",11,42,Adult,No,No,Yes,Mandarin,English,No,No,Yes,No,Yes,No,No,Yes,44,Multiple L1 groups
The development of L2 oral language skills in two L1 groups: A 7-year study,Derwing Munro,Derwing,2013,Language Learning,Yes,Yes,No,7 years,84,24+,3,Unequal,"2 months, 2 years, 7 years",11,45.8,Adult,No,No,Yes,Slavic,English,No,No,Yes,No,Yes,No,No,Yes,44,Multiple L1 groups
The relationship between L1 fluency and L2 fluency development,Derwing Munro Thomson Rossiter,Derwing,2009,Studies in Second Language Acquisition,Yes,No,No,2 years,24,12 to 24,3,Unequal,"0, 2, 10, 22 months",16,34.33,Adult,No,No,Yes,Mandarin,English,No,Yes,No,No,Yes,No,Yes,Yes,24,Multiple L1 groups
The relationship between L1 fluency and L2 fluency development,Derwing Munro Thomson Rossiter,Derwing,2009,Studies in Second Language Acquisition,Yes,Yes,No,2 years,24,12 to 24,3,Unequal,"0, 2, 10, 22 months",16,38.5,Adult,No,No,Yes,Slavic,English,No,Yes,No,No,Yes,No,Yes,Yes,24,Multiple L1 groups
A longitudinal study of listening perception in adult learners of English: Implications for teachers,Derwing Thomson Foote Munro,Derwing,2012,Canadian Modern Language Review,Yes,No,No,10 months,10,8 to 12,5,Equal,,20,33.6,Adult,No,No,Yes,Mandarin,English,Yes,No,No,No,No,No,No,No,,Multiple L1 groups
A longitudinal study of listening perception in adult learners of English: Implications for teachers,Derwing Thomson Foote Munro,Derwing,2012,Canadian Modern Language Review,Yes,Yes,No,10 months,10,8 to 12,5,Equal,,20,39.5,Adult,No,No,Yes,Slavic,English,Yes,No,No,No,No,No,No,No,,Multiple L1 groups
The development of Chinese fluency during study abroad in China,Du,Du,2013,Modern Language Journal,Yes,No,No,4 months,4,0 to 4,4,Equal,,29,20.5,Adult,No,Yes,No,English,Mandarin,No,Yes,No,No,Yes,Yes,No,No,,
A longitudinal investigation of vowel acquisition,Gulinello,Gulinello,2009,Pronunciation in Second Language Learning and Teaching,Yes,No,No,1 year,12,8 to 12,3,,,5,nr,Adult,No,No,Yes,Spanish,English,No,Yes,No,Yes,No,Yes,No,No,,
A longitudinal study of the second language acquisition of a three-way stop contrast,Holliday,Holliday,2015,Journal of Phonetics,Yes,No,No,1 year,12,8 to 12,3,Equal,,6,21.5,Adult,No,No,Yes,Mandarin,Korean,No,Yes,No,Yes,No,Yes,No,No,,
Second language speakers at university: Longitudinal development and rater behaviour,Kennedy Foote Buss,Kennedy,2015,TESOL Quarterly,Yes,No,No,2.3 years,28,24+,2,na,,7,22,Adult,No,No,Yes,Various,English,No,No,Yes,No,Yes,No,No,Yes,19,
A longitudinal study of individual differences in the acquisition of new vowel contrasts,Kim Clayards Goad,Kim,2018,Journal of Phonetics,Yes,No,No,1 year,12,8 to 12,4,Equal,,12,39.6,Adult,No,No,Yes,Korean,English,Yes,No,No,No,No,No,No,No,,Children and adults
A longitudinal study of individual differences in the acquisition of new vowel contrasts,Kim Clayards Goad,Kim,2018,Journal of Phonetics,Yes,Yes,No,1 year,12,8 to 12,4,Equal,,15,8.9,Child,No,No,Yes,Korean,English,Yes,No,No,No,No,No,No,No,,Children and childs
Segmental acquisition in adult ESL learners: A longitudinal study of vowel production,Munro Derwing,Munro,2008,Language Learning,Yes,No,No,1 year,12,8 to 12,6,Equal,,20,33.2,Adult,No,No,Yes,Mandarin,English,No,Yes,No,Yes,No,No,No,Yes,"4, 13","Expert and novice raters, both groups rating global dimensions of pronunciation"
Segmental acquisition in adult ESL learners: A longitudinal study of vowel production,Munro Derwing,Munro,2008,Language Learning,Yes,Yes,No,1 year,12,8 to 12,6,Equal,,24,38.6,Adult,No,No,Yes,Slavic,English,No,Yes,No,Yes,No,No,No,Yes,"4, 13","Expert and novice raters, both groups rating global dimensions of pronunciation"
English L2 vowel acquisition over seven years,Munro Derwing Saito,Munro,2013,Pronunciation in Second Language Learning and Teaching,Yes,No,No,7 years,84,24+,2,na,,13,nr,Adult,No,No,Yes,Mandarin,English,No,Yes,No,Yes,No,Yes,No,Yes,3,Multiple L1 groups
English L2 vowel acquisition over seven years,Munro Derwing Saito,Munro,2013,Pronunciation in Second Language Learning and Teaching,Yes,Yes,No,7 years,84,24+,2,na,,18,nr,Adult,No,No,Yes,Slavic,English,No,Yes,No,Yes,No,Yes,No,Yes,3,Multiple L1 groups
Setting segmental priorities for English learners: Evidence from a longitudinal study,Munro Derwing Thomson,Munro,2015,International Review of Applied Linguistics,Yes,No,No,2 years,24,12 to 24,4,Unequal,"2, 4, 10, 24 months",17,34,Adult,No,No,Yes,Mandarin,English,No,Yes,No,Yes,No,No,No,Yes,2,Multiple L1 groups
Setting segmental priorities for English learners: Evidence from a longitudinal study,Munro Derwing Thomson,Munro,2015,International Review of Applied Linguistics,Yes,Yes,No,2 years,24,12 to 24,4,Unequal,"2, 4, 10, 24 months",23,38.5,Adult,No,No,Yes,Slavic,English,No,Yes,No,Yes,No,No,No,Yes,2,Multiple L1 groups
Individual developmental trajectories in the L2 acquisition of Spanish spirantization,Nagle,Nagle,2017,Journal of Second Language Pronunciation,Yes,No,No,2 semesters,8,4 to 8,5,Equal,,26,nr,Adult,Yes,No,No,English,Spanish,No,Yes,No,Yes,Yes,Yes,No,No,,
Examining the temporal structure of the perception-production link in second language acquisition: A longitudinal study,Nagle,Nagle,2018,Language Learning,Yes,No,No,2 semesters,8,4 to 8,5,Equal,,26,nr,Adult,Yes,No,No,English,Spanish,Yes,Yes,No,Yes,Yes,Yes,No,No,,
